id;diemtbhc_10;diemtbhc_4;diemtbtl_10;diemtbtl_4;sotinchidat;sotinchitichluy;phan_loai;type;student_id
1;44172;47016;28087;82064;70902;71235;Minnesota Haven GB;91099;32028
2;17580;43592;48196;78174;83019;65150;magnetic Palladium;83193;8694
3;72718;26831;26280;91677;43169;27361;Versatile;78869;55110
4;90929;46238;30609;19680;83087;31463;matrices;42467;47435
5;25364;77927;10514;46799;68569;63719;B2B Sports;26114;14923
6;93662;94111;30310;74466;7382;52266;Jewelery;85680;66242
7;8252;42184;93551;39110;81149;38623;Direct Rwanda Wooden;77826;45730
8;82630;59523;60517;47974;43846;55730;Avon Small functionalities;74687;89542
9;16782;22085;70124;51940;2290;59298;scalable;73253;9208
10;19299;61980;36853;57350;48101;99792;indexing;83385;11248
