id;ten_mon;ma_mon;tc;kt_percent;thi_percent;diem_chuyen_can;diem_qua_trinh;thi_10;tk_110;tk_10;tk_1_ch;tkch;student_id
1;streamline Intelligent red;fuchsia;28271;60545;27083;35162;13161;73424;94123;19047;Savings Account discrete;Berkshire generating;7064
2;Brunei Dollar;Horizontal incremental;23992;52595;294;5291;63373;76984;80440;74340;Outdoors Garden;Generic background Fully-configurable;87846
3;Colorado;Intranet clear-thinking;83183;41142;9285;85162;23411;29434;40584;4431;open-source Research Plaza;Uruguay Orchestrator overriding;88944
4;Fresh;payment Track Technician;76288;41779;99064;7589;16891;36243;49153;87251;SQL open-source Response;CSS bluetooth brand;36538
5;purple back up;azure Refined;82148;34859;12302;21067;10754;50585;38444;38445;Buckinghamshire;generate Supervisor;58714
6;Platinum IB;Concrete Checking Account Chair;70763;77436;44242;46778;5580;25396;14634;50783;Assurance Parkway aggregate;Incredible Fresh Fish Tasty Cotton;98219
7;Forward Generic;Security Michigan wireless;5150;98916;4879;63690;49892;41406;58233;39913;program;Avon;45681
8;Money Market Account Interactions Liberia;Incredible;45219;22648;37430;75436;76273;69681;76694;81259;Surinam Dollar haptic;supply-chains;35353
9;Unbranded Frozen Bike process improvement;portals;67951;35139;81322;25805;10019;75605;26333;35640;intranet Sleek;bus;59226
10;stable Trinidad and Tobago Dollar;Chips compress navigate;74393;55938;69123;25877;77053;34551;68351;10864;Washington;Handmade Fresh Shirt Automotive Chief;38281
